id,name,performer,price,time_start,time_end,venue,address,city,postcode,latitude,longitude,tags
140512,Nick Helm,MGICF,£8 (£7),"Mar 26, 2011 8:30 PM","Mar 26, 2011 10:30 PM",Blackfriars Basement,36 Bell Street,Glasgow,G1 1LG,55.858002,-4.245421,"Comedy, MGICF, Magners Glasgow International Comedy Festival"
140531,Pete Johansson: Pete's On Earth,MGICF,£7 (£6),"Mar 26, 2011 8:30 PM","Mar 26, 2011 10:30 PM",Brel,39-43 Ashton Lane,Glasgow,G12 8SG,55.88234,-4.300632,"Comedy, MGICF, Magners Glasgow International Comedy Festival"
140546,Costaki Economopoulos: American Dad,MGICF,£9 (£7),"Mar 26, 2011 8:30 PM","Mar 26, 2011 10:30 PM",The Griffin,Bath Street,Glasgow,G2 4JP,55.8615603,-4.2502414,"Comedy, MGICF, Magners Glasgow International Comedy Festival"
140594,Mikey Adams: Messages From The Giving Hawk,MGICF,£8 (£7),"Mar 26, 2011 8:30 PM","Mar 26, 2011 10:30 PM",Capitol,468 Sauchiehall Street,Glasgow,G2 3LW,55.866379,-4.26771,"Comedy, MGICF, Magners Glasgow International Comedy Festival"
140615,Rob Kane: Frustration Can Cause Accidents,MGICF,£5 (£3),"Mar 26, 2011 8:30 PM","Mar 26, 2011 10:30 PM",Classic Grand,18 Jamaica Street,Glasgow,G1 4QD,55.857922,-4.25778,"Comedy, MGICF, Magners Glasgow International Comedy Festival"
140640,Highlight,MGICF,£12,"Mar 26, 2011 8:30 PM","Mar 26, 2011 10:30 PM",Highlight,"UGC Building, 11 Renfrew Street",Glasgow,G2 3AB,55.864948,-4.25522,"Comedy, MGICF, Magners Glasgow International Comedy Festival"
140648,Jongleurs live,MGICF,£15,"Mar 26, 2011 8:30 PM","Mar 26, 2011 10:30 PM",Tiger Tiger,The Gasshouse,Glasgow,G1 1UL,55.858311,-4.24924,"Comedy, MGICF, Magners Glasgow International Comedy Festival"
138759,Bubblegum,,Free (£4 after 10),"Mar 26, 2011 9:00 PM","Mar 27, 2011 3:00 AM",The Hive,15-17 Niddry Street,Edinburgh,EH1 1LG,55.949123,-3.1868,"Clubs, Dance, chart, Student"
138863,Butterfly Saturdays,,Free,"Mar 26, 2011 9:00 PM","Mar 27, 2011 3:00 AM",Butterfly & Pig,153 Bath St,Glasgow,G2 4SQ,,,"pre-club, live bands, free entry"
138928,Saturday @ Bookclub,,Free,"Mar 26, 2011 9:00 PM","Mar 27, 2011 12:00 AM",Hillhead Bookclub,17 Vinicombe Street,Glasgow,G12 8BQ,55.876968,-4.28979,"Clubs, Funk, Soul, Hip-hop, free entry, Andy Taylor"
139776,The Saturday Show,"Steve Hughes, Lee Camp, Iain Stirling",£15,"Mar 26, 2011 9:00 PM","Mar 26, 2011 11:00 PM",The Stand,5 York Place,Edinburgh,EH1 3EB,55.955853,-3.191603,Comedy
139942,"Green Door Clnic, The Late Julys",,Free,"Mar 26, 2011 9:00 PM","Mar 27, 2011 12:00 AM",Slouch,203-205 Bath Street,Glasgow,G2 4HZ,55.864571,-4.26264,"Music, Indie, rock, Glasgow"
140347,Vendetta,,Free,"Mar 26, 2011 9:00 PM","Mar 27, 2011 12:00 AM",1901 Bar,1534 Pollokshaws Road,Glasgow,G43 1RF,55.827686,-4.295628,Music
140554,Comedy Out West,MGICF,£10 (£8),"Mar 26, 2011 9:00 PM","Mar 26, 2011 11:00 PM",West Brewery,Templeton Building,Glasgow,G40 1AW,55.851551,-4.23287,"Comedy, MGICF, Magners Glasgow International Comedy Festival"
140681,Saturday Night at the State,MGICF,£7 (£5),"Mar 26, 2011 9:00 PM","Mar 26, 2011 11:00 PM",State Bar,148 Holland Street,Glasgow,G2 4NG,55.865341,-4.26499,"Comedy, MGICF, Magners Glasgow International Comedy Festival"
140832,Jilted,,£6,"Mar 26, 2011 9:30 PM","Mar 27, 2011 3:00 AM",Soundhaus,47 Hydepark Street,Glasgow,G3 8BW,55.859024,-4.27482,Clubs
139740,Yoyo Saturday,,Free (£6 after 11),"Mar 26, 2011 10:00 PM","Mar 27, 2011 3:00 AM",Shed,Langside Avenue,Glasgow,G41 2QS,55.8294723,-4.2816032,Clubs
140033,Red2Red,,£4,"Mar 26, 2011 10:00 PM","Mar 27, 2011 3:00 AM",Henry's Cellar,8 Morrison Street,Edinburgh,EH3 8BJ,55.946022,-3.206526,Music
140384,Cabaret Noir,MGICF,£17.50,"Mar 26, 2011 10:00 PM","Mar 27, 2011 12:00 AM",The King's Theatre,297 Bath Street,Glasgow,G2 4JN,55.86515,-4.268766,"Comedy, MGICF, Magners Glasgow International Comedy Festival"
140590,The Stockholm Syndrome,MGICF,£6 (£5),"Mar 26, 2011 10:00 PM","Mar 27, 2011 12:00 AM",Capitol,468 Sauchiehall Street,Glasgow,G2 3LW,55.866379,-4.26771,"Comedy, MGICF, magners glasgow international comedy festival"
140862,Amoriste,,£6,"Mar 26, 2011 10:00 PM","Mar 27, 2011 3:00 AM",Electric Circus,36-39 Market Street,Edinburgh,EH1 1DF,55.95145,-3.18783,Music
140863,Magic Nostalgic,,£5 (£6 after 12),"Mar 26, 2011 10:00 PM","Mar 27, 2011 3:00 AM",Electric Circus,36-39 Market Street,Edinburgh,EH1 1DF,55.95145,-3.18783,Clubs
142964,Der Supermax Love Machine,,£5,"Mar 26, 2011 10:00 PM","Mar 27, 2011 2:00 AM",Brunswick Hotel,106-108 Brunswick Street,Glasgow,G1 1TF,55.859211,-4.246641,Clubs
138731,Tease Age,,Free (£6 after 11),"Mar 26, 2011 10:30 PM","Mar 27, 2011 3:00 AM",Citrus Club,40-42 Grindlay Street,Edinburgh,EH3 9AP,55.946766,-3.205076,"Clubs, rock, Indie"
138984,Laura Meyer,,Free,"Mar 26, 2011 10:30 PM","Mar 26, 2011 11:30 PM",Bloc+,117 Bath Street,Glasgow,G2 2SZ,55.864017,-4.260037,"Music, New York, free entry, singer/songwriter"
139129,Cathouse Saturdays,,£6 (£5),"Mar 26, 2011 10:30 PM","Mar 27, 2011 3:00 AM",Cathouse,15 Union Street,Glasgow,G1 3RB,55.859222,-4.257349,Clubs
139183,I Heart the Garage more than yer Maw,,£7 (£5),"Mar 26, 2011 10:30 PM","Mar 27, 2011 3:00 AM",The Garage,490 Sauchiehall Street,Glasgow,G2 3LW,55.866367,-4.269032,Clubs
139236,Madchester,,£6,"Mar 26, 2011 10:30 PM","Mar 27, 2011 3:00 AM",The Liquid Room,9c Victoria Street,Edinburgh,EH1 2HE,55.948574,-3.193573,Clubs
139324,Absolution,,£5 (£4),"Mar 26, 2011 10:30 PM","Mar 27, 2011 3:00 AM",Classic Grand,18 Jamaica Street,Glasgow,G1 4QD,55.857922,-4.25778,Clubs
139474,Autodisco,,£tbc,"Mar 26, 2011 10:30 PM","Mar 27, 2011 2:30 AM",Reading Rooms,Blackscroft,Dundee,DD4 6AT,56.465118,-2.961128,Clubs
140458,Magners Festival Club,MGICF,£15 (£12),"Mar 26, 2011 10:30 PM","Mar 27, 2011 12:30 AM",The Stand,333 Woodlands Road,Glasgow,G3 6NG,55.872601,-4.279067,"Comedy, glasgow comedy festival"
140829,Club 10-86,The Space DJs,£5 (£7 after 12),"Mar 26, 2011 10:30 PM","Mar 27, 2011 3:00 AM",Lane Nightclub,3 Queensferry Lane,Edinburgh,EH2 4PF,55.950047,-3.210222,Clubs
140722,Ha Ha Comedy Late 'n' Loud,MGICF,£7 (£6),"Mar 26, 2011 10:40 PM","Mar 27, 2011 12:40 AM",Uisge Beatha,232-246 Woodlands Road,Glasgow,G3 6ND,55.871487,-4.277128,"Comedy, MGICF, Magners Glasgow International Comedy Festival"
138837,Nu Skool,,£6,"Mar 26, 2011 11:00 PM","Mar 27, 2011 3:00 AM",Buff Club,142 Bath Lane,Glasgow,G2 4RH,55.864002,-4.261795,Clubs
138885,Rock Club,,£5 (£3),"Mar 26, 2011 11:00 PM","Mar 27, 2011 3:00 AM",Ivory Blacks,56 Oswald Street ,Glasgow,G1 4PL,55.858009,-4.25956,"Clubs, rock, students"
138955,Power Tools,,Free,"Mar 26, 2011 11:00 PM","Mar 27, 2011 3:00 AM",Flat 0/1,162 Bath Street,Glasgow,,,,"Clubs, Italo, disco, House, free entry"
139250,Redeemer,,£5 (£4),"Mar 26, 2011 11:00 PM","Mar 27, 2011 3:00 AM",Studio 24,24 Calton Road,Edinburgh,EH8 8DP,55.95256,-3.179214,Clubs
139251,Underground,,£5 (£4),"Mar 26, 2011 11:00 PM","Mar 27, 2011 3:00 AM",Studio 24,24 Calton Road,Edinburgh,EH8 8DP,55.95256,-3.179214,Clubs
139276,Messenger,,£6 (£7 after 12),"Mar 26, 2011 11:00 PM","Mar 27, 2011 3:00 AM",Bongo Club,37 Holyrood Road,Edinburgh,EH8 8AQ,55.950005,-3.179537,Club
139308,Beat Control,,£1 (£5 after 12),"Mar 26, 2011 11:00 PM","Mar 27, 2011 3:00 AM",HMV Picture House,31 Lothian Road,Edinburgh,EH1 2DJ,55.948212,-3.20622,Clubs
139700,Love Music,,£7,"Mar 26, 2011 11:00 PM","Mar 27, 2011 3:00 AM",O2 ABC,330 Sauchiehall Street,Glasgow,G2 3JA,55.865799,-4.263708,Clubs
139875,Playdate,,£3 (members free),"Mar 26, 2011 11:00 PM","Mar 27, 2011 3:00 AM",Sneaky Pete's,73 Cowgate,Edinburgh,EH1 1JW,55.947979,-3.1925,Clubs
139928,The Rock Shop,,Free (£5 (£3) after 12),"Mar 26, 2011 11:00 PM","Mar 27, 2011 3:00 AM",Maggie May's,60 Trongate,Glasgow,G1 5EP,55.857128,-4.24615,Clubs
139986,Karnival,Justin Robertson,£10 (£8),"Mar 26, 2011 11:00 PM","Mar 27, 2011 3:00 AM",Cabaret Voltaire,36-38 Blair Street,Edinburgh,EH1 1QR,55.949142,-3.187778,Clubs
139987,Dare,"Jon Pleased Wimmin, Adam Le Chic",£5,"Mar 26, 2011 11:00 PM","Mar 27, 2011 5:00 AM",Cabaret Voltaire,36-38 Blair Street,Edinburgh,EH1 1QR,55.949142,-3.187778,Clubs
140070,The Egg,,£1 (£3 after 11.30),"Mar 26, 2011 11:00 PM","Mar 27, 2011 3:00 AM",Wee Red Bar,Edinburgh College of Art Lauriston Place,Edinburgh,EH3 9DF,55.945885,-3.19962,Clubs
140774,Pusch 79,,£10,"Mar 26, 2011 11:00 PM","Mar 27, 2011 3:00 AM",La Cheetah,73 Queen Street,Glasgow,G1 3BZ,55.856157,-4.2553865,Clubs
140777,Modern Lovers,Andy Lewis,£3 (£6 after 12),"Mar 26, 2011 11:00 PM","Mar 27, 2011 3:00 AM",Flying Duck,142 Renfield Street,Glasgow,G2 3AU,55.865494,-4.254977,Clubs
140828,Tronicsole: 2nd Birthday,Shur-i-Kan,£10 (£9 members),"Mar 26, 2011 11:00 PM","Mar 27, 2011 3:00 AM",The Admiral,72a Waterloo Street,Glasgow,G2 7DA,55.860924,-4.262511,Clubs
140867,Subculture,,£10 (£8),"Mar 26, 2011 11:00 PM","Mar 27, 2011 3:00 AM",Sub Club,22 Jamaica Street,Glasgow,G1 4QD,,,Clubs
140256,Late 'n' Live: The Soul Foundation,DJ Astroboy,£5 (£3),"Mar 26, 2011 11:30 PM","Mar 27, 2011 3:00 AM",The Jazz Bar,1 Chambers Street,Edinburgh,EH1 1HR,55.94838,-3.186905,Music
140750,The Hangover,,£4,"Mar 26, 2011 11:30 PM","Mar 27, 2011 2:30 AM",Grosvenor Cinema,Ashton Lane,Glasgow,G12 8SJ,55.874668,-4.293016,"Events, Film, MGICF, Magners Glasgow International Comedy Festival"
135629,French Drawings,,Free,"Mar 27, 2011 10:00 AM","Mar 27, 2011 5:00 PM",National Gallery of Scotland,The Mound,Edinburgh,EH2 2EL,55.95187,-3.196429,Art
135708,Artist Rooms: August Sander,,Free,"Mar 27, 2011 10:00 AM","Mar 27, 2011 5:00 PM",Dean Gallery,73 Belford Road,Edinburgh,EH4 3DS,55.95187,-3.224196,"Art, 20th Century images, Photography, German"
136638,"Claude Cahun, Sue Tompkins",,Free,"Mar 27, 2011 10:00 AM","Mar 27, 2011 5:30 PM",Inverleith House,Inverleith Row,Edinburgh,EH3 5LR,55.96508,-3.21015,"Art, Photography"
